Ticker,Date,Mean,Max,Min
Amazon,2020-10-01T00:39:25Z,0.2913,0.7269,-0.296
Amazon,2020-10-02T00:39:25Z,0.1414,0.5267,-0.34
Amazon,2020-10-03T00:39:25Z,0.2486,0.7096,-0.25
Amazon,2020-10-04T00:39:25Z,0.2206,0.8225,-0.25
Amazon,2020-10-05T00:39:25Z,0.2664,0.7096,-0.3182
Amazon,2020-10-06T00:39:25Z,0.0897,0.8225,-0.4588
Amazon,2020-10-07T00:39:25Z,0.1381,0.7096,-0.5719
Amazon,2020-10-08T00:39:25Z,0.2033,0.7096,0.0
Amazon,2020-10-09T00:39:25Z,0.3061,0.7096,-0.34
Amazon,2020-10-10T00:39:25Z,0.2269,0.8225,-0.6705
Amazon,2020-10-11T00:39:25Z,0.3846,0.8442,-0.4588
Amazon,2020-10-12T00:39:25Z,0.5703,0.8126,0.0
Amazon,2020-10-13T00:39:25Z,0.054,0.7096,-0.4389
Amazon,2020-10-14T00:39:25Z,0.6094,0.8658,0.0
Amazon,2020-10-15T00:39:25Z,0.3745,0.891,0.0
Amazon,2020-10-16T00:39:25Z,0.3067,0.8126,-0.3818
Amazon,2020-10-17T00:39:25Z,0.2765,0.875,-0.1027
Amazon,2020-10-18T00:39:25Z,-0.1461,0.3612,-0.4588
Amazon,2020-10-19T00:39:25Z,0.1415,0.7096,-0.296
Amazon,2020-10-20T00:39:25Z,0.192,0.8225,-0.4854
Amazon,2020-10-21T00:39:25Z,0.2655,0.6124,-0.1779
Amazon,2020-10-22T00:39:25Z,0.2291,0.8225,-0.4767
Amazon,2020-10-23T00:39:25Z,0.2534,0.7845,-0.1779
Amazon,2020-10-24T00:39:25Z,0.1733,0.7096,-0.4215
Amazon,2020-10-25T00:39:25Z,0.2914,0.7096,-0.5096
Amazon,2020-10-26T00:39:25Z,0.1894,0.7783,-0.2732
Amazon,2020-10-27T00:39:25Z,0.3177,0.8442,-0.3612
Amazon,2020-10-28T00:39:25Z,0.317,0.8658,-0.2732
Amazon,2020-10-29T00:39:25Z,0.214,0.8225,-0.7184
Amazon,2020-10-30T00:39:25Z,0.2674,0.7269,-0.6249
Amazon,2020-10-31T00:39:25Z,0.2733,0.7096,0.0
Amazon,2020-11-01T00:39:25Z,0.2382,0.8313,-0.25
Amazon,2020-11-02T00:39:25Z,0.3753,0.7717,0.1779
Amazon,2020-11-03T00:39:25Z,0.2884,0.7096,-0.1027
Amazon,2020-11-04T00:39:25Z,0.3986,0.8271,0.0
Amazon,2020-11-05T00:39:25Z,0.1649,0.7845,-0.4215
Amazon,2020-11-06T00:39:25Z,0.1689,0.765,-0.5574
Amazon,2020-11-07T00:39:25Z,0.2987,0.8074,-0.5719
Amazon,2020-11-08T00:39:25Z,0.5924,0.765,0.296
Amazon,2020-11-09T00:39:25Z,0.4551,0.8718,0.0
Amazon,2020-11-10T00:39:25Z,0.1626,0.7579,-0.5994
Amazon,2020-11-11T00:39:25Z,0.2356,0.7096,-0.4588
Amazon,2020-11-12T00:39:25Z,0.2122,0.7096,-0.5859
Amazon,2020-11-13T00:39:25Z,0.3062,0.7269,0.0
Amazon,2020-11-14T00:39:25Z,0.5005,0.824,0.1139
Amazon,2020-11-15T00:39:25Z,0.5234,0.8225,-0.4215
Amazon,2020-11-16T00:39:25Z,0.3351,0.8779,-0.1531
Amazon,2020-11-17T00:39:25Z,0.4333,0.8225,-0.1779
Amazon,2020-11-18T00:39:25Z,0.3227,0.7096,-0.1779
Amazon,2020-11-19T00:39:25Z,0.2956,0.8074,-0.5106
Amazon,2020-11-20T00:39:25Z,0.146,0.6908,-0.4019
Amazon,2020-11-21T00:39:25Z,0.0151,0.7493,-0.6486
Amazon,2020-11-22T00:39:25Z,0.3091,0.7096,-0.3818
Amazon,2020-11-23T00:39:25Z,0.3631,0.7717,0.0
Amazon,2020-11-24T00:39:25Z,0.3946,0.7783,0.1027
Amazon,2020-11-25T00:39:25Z,0.3773,0.7096,-0.1027
Amazon,2020-11-26T00:39:25Z,0.3172,0.7845,-0.2263
Amazon,2020-11-27T00:39:25Z,0.41,0.8779,0.0
Amazon,2020-11-28T00:39:25Z,0.3491,0.8779,-0.6249
Amazon,2020-11-29T00:39:25Z,0.2384,0.6369,-0.5574
Amazon,2020-11-30T00:39:25Z,0.2934,0.8176,-0.7906
Amazon,2020-12-01T00:39:25Z,0.3938,0.7096,-0.34
Amazon,2020-12-02T00:39:25Z,0.4512,0.7096,-0.3612
Amazon,2020-12-03T00:39:25Z,0.2418,0.7096,-0.1531
Amazon,2020-12-04T00:39:25Z,0.2704,0.7096,-0.09
Amazon,2020-12-05T00:39:25Z,0.342,0.8625,-0.4102
Amazon,2020-12-06T00:39:25Z,0.5028,0.7096,0.0
Amazon,2020-12-07T00:39:25Z,0.4786,0.802,-0.1027
Amazon,2020-12-08T00:39:25Z,0.5465,0.7184,0.0
Amazon,2020-12-09T00:39:25Z,0.2772,0.7096,-0.34
Amazon,2020-12-10T00:39:25Z,0.3598,0.7096,0.1779
Amazon,2020-12-11T00:39:25Z,0.3507,0.7096,0.0
Amazon,2020-12-12T00:39:25Z,0.1343,0.7096,-0.1779
Amazon,2020-12-13T00:39:25Z,0.3959,0.7493,-0.5719
Amazon,2020-12-14T00:39:25Z,0.0458,0.1779,0.0
Amazon,2020-12-15T00:39:25Z,0.3044,0.7096,0.0
Amazon,2020-12-16T00:39:25Z,0.2155,0.7096,0.0
Amazon,2020-12-17T00:39:25Z,0.3087,0.7096,-0.1779
Amazon,2020-12-18T00:39:25Z,0.3355,0.7096,0.0
Amazon,2020-12-19T00:39:25Z,0.25,0.7964,-0.5859
Amazon,2020-12-20T00:39:25Z,0.2697,0.7096,-0.1027
Amazon,2020-12-21T00:39:25Z,0.4197,0.7717,-0.5574
Amazon,2020-12-22T00:39:25Z,0.2499,0.7096,-0.1027
Amazon,2020-12-23T00:39:25Z,0.4565,0.7906,0.0
Amazon,2020-12-24T00:39:25Z,0.3528,0.7096,-0.2263
Amazon,2020-12-25T00:39:25Z,0.2705,0.6369,-0.0516
Amazon,2020-12-26T00:39:25Z,0.1033,0.6705,-0.4019
Amazon,2020-12-27T00:39:25Z,0.3686,0.6597,0.0
Amazon,2020-12-28T00:39:25Z,0.4122,0.8519,-0.3818
Amazon,2020-12-29T00:39:25Z,0.3004,0.7096,0.0
Amazon,2020-12-30T00:39:25Z,0.2599,0.7964,0.0
Amazon,2020-12-31T00:39:25Z,0.366,0.8402,0.1779
